"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-01","2023","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-02","2023","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-03","2023","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-04","2023","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-05","2023","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-06","2023","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-07","2023","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-08","2023","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-09","2023","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-10","2023","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-11","2023","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-12","2023","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-13","2023","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-14","2023","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-15","2023","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-16","2023","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-17","2023","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-18","2023","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-19","2023","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-20","2023","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-21","2023","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-22","2023","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-23","2023","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-24","2023","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-25","2023","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-26","2023","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-27","2023","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-28","2023","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-29","2023","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-30","2023","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-01-31","2023","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-01","2023","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-02","2023","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-03","2023","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-04","2023","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-05","2023","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-06","2023","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-07","2023","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-08","2023","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-09","2023","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-10","2023","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-11","2023","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-12","2023","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-13","2023","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-14","2023","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-15","2023","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-16","2023","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-17","2023","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-18","2023","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-19","2023","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-20","2023","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-21","2023","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-22","2023","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-23","2023","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-24","2023","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-25","2023","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-26","2023","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-27","2023","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-02-28","2023","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-01","2023","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-02","2023","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-03","2023","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-04","2023","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-05","2023","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-06","2023","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-07","2023","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-08","2023","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-09","2023","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-10","2023","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-11","2023","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-12","2023","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-13","2023","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-14","2023","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-15","2023","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-16","2023","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-17","2023","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-18","2023","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-19","2023","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-20","2023","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-21","2023","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-22","2023","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-23","2023","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-24","2023","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-25","2023","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-26","2023","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-27","2023","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-28","2023","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-29","2023","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-30","2023","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-03-31","2023","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-01","2023","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-02","2023","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-03","2023","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-04","2023","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-05","2023","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-06","2023","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-07","2023","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-08","2023","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-09","2023","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-10","2023","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-11","2023","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-12","2023","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-13","2023","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-14","2023","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-15","2023","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-16","2023","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-17","2023","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-18","2023","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-19","2023","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-20","2023","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-21","2023","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-22","2023","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-23","2023","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-24","2023","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-25","2023","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-26","2023","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-27","2023","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-28","2023","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-29","2023","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-04-30","2023","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-01","2023","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-02","2023","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-03","2023","05","03","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-04","2023","05","04","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-05","2023","05","05","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-06","2023","05","06","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-07","2023","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-08","2023","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-09","2023","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-10","2023","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-11","2023","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-12","2023","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-13","2023","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-14","2023","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-15","2023","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-16","2023","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-17","2023","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-18","2023","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-19","2023","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-20","2023","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-21","2023","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-22","2023","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-23","2023","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-24","2023","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-25","2023","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-26","2023","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-27","2023","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-28","2023","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-29","2023","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-30","2023","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-05-31","2023","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-01","2023","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-02","2023","06","02","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-03","2023","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-04","2023","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-05","2023","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-06","2023","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-07","2023","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-08","2023","06","08","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-09","2023","06","09","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-10","2023","06","10","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-11","2023","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-12","2023","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-13","2023","06","13","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-14","2023","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-15","2023","06","15","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-16","2023","06","16","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-17","2023","06","17","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-18","2023","06","18","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-19","2023","06","19","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-20","2023","06","20","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-21","2023","06","21","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-22","2023","06","22","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-23","2023","06","23","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-24","2023","06","24","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-25","2023","06","25","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-26","2023","06","26","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-27","2023","06","27","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-28","2023","06","28","","","","","","","","","","","","","","","","","","","","","","",""
"-64.03","67.55","BROUGHTON VILLAGE","2400574","2023-06-29","2023","06","29","","","","","","","","","","","","","","","","","","","","","","",""
