"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-01","2015","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-02","2015","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-03","2015","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-04","2015","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-05","2015","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-06","2015","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-07","2015","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-08","2015","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-09","2015","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-10","2015","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-11","2015","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-12","2015","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-13","2015","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-14","2015","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-15","2015","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-16","2015","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-17","2015","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-18","2015","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-19","2015","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-20","2015","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-21","2015","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-22","2015","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-23","2015","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-24","2015","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-25","2015","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-26","2015","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-27","2015","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-28","2015","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-29","2015","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-30","2015","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-01-31","2015","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-01","2015","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-02","2015","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-03","2015","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-04","2015","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-05","2015","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-06","2015","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-07","2015","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-08","2015","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-09","2015","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-10","2015","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-11","2015","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-12","2015","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-13","2015","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-14","2015","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-15","2015","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-16","2015","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-17","2015","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-18","2015","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-19","2015","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-20","2015","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-21","2015","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-22","2015","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-23","2015","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-24","2015","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-25","2015","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-26","2015","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-27","2015","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-02-28","2015","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-01","2015","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-02","2015","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-03","2015","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-04","2015","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-05","2015","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-06","2015","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-07","2015","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-08","2015","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-09","2015","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-10","2015","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-11","2015","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-12","2015","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-13","2015","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-14","2015","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-15","2015","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-16","2015","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-17","2015","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-18","2015","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-19","2015","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-20","2015","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-21","2015","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-22","2015","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-23","2015","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-24","2015","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-25","2015","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-26","2015","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-27","2015","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-28","2015","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-29","2015","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-30","2015","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-03-31","2015","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-01","2015","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-02","2015","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-03","2015","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-04","2015","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-05","2015","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-06","2015","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-07","2015","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-08","2015","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-09","2015","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-10","2015","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-11","2015","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-12","2015","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-13","2015","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-14","2015","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-15","2015","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-16","2015","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-17","2015","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-18","2015","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-19","2015","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-20","2015","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-21","2015","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-22","2015","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-23","2015","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-24","2015","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-25","2015","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-26","2015","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-27","2015","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-28","2015","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-29","2015","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-04-30","2015","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-01","2015","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-02","2015","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-03","2015","05","03","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-04","2015","05","04","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-05","2015","05","05","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-06","2015","05","06","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-07","2015","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-08","2015","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-09","2015","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-10","2015","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-11","2015","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-12","2015","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-13","2015","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-14","2015","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-15","2015","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-16","2015","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-17","2015","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-18","2015","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-19","2015","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-20","2015","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-21","2015","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-22","2015","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-23","2015","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-24","2015","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-25","2015","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-26","2015","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-27","2015","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-28","2015","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-29","2015","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-30","2015","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-05-31","2015","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-01","2015","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-02","2015","06","02","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-03","2015","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-04","2015","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-05","2015","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-06","2015","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-07","2015","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-08","2015","06","08","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-09","2015","06","09","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-10","2015","06","10","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-11","2015","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-12","2015","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-13","2015","06","13","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-14","2015","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-15","2015","06","15","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-16","2015","06","16","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-17","2015","06","17","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-18","2015","06","18","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-19","2015","06","19","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-20","2015","06","20","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-21","2015","06","21","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-22","2015","06","22","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-23","2015","06","23","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-24","2015","06","24","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-25","2015","06","25","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-26","2015","06","26","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-27","2015","06","27","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-28","2015","06","28","","","","","","","","","","","","","","","","","","","","","","",""
"-72.80","46.45","ST ETIENNE DES GRES","7017220","2015-06-29","2015","06","29","","","","","","","","","","","","","","","","","","","","","","",""
