"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.43","47.35","VILLE MARIE","7088760","2015-01-01","2015","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-02","2015","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-03","2015","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-04","2015","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-05","2015","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-06","2015","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-07","2015","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-08","2015","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-09","2015","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-10","2015","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-11","2015","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-12","2015","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-13","2015","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-14","2015","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-15","2015","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-16","2015","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-17","2015","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-18","2015","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-19","2015","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-20","2015","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-21","2015","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-22","2015","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-23","2015","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-24","2015","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-25","2015","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-26","2015","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-27","2015","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-28","2015","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-29","2015","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-30","2015","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-01-31","2015","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-01","2015","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-02","2015","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-03","2015","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-04","2015","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-05","2015","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-06","2015","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-07","2015","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-08","2015","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-09","2015","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-10","2015","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-11","2015","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-12","2015","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-13","2015","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-14","2015","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-15","2015","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-16","2015","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-17","2015","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-18","2015","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-19","2015","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-20","2015","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-21","2015","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-22","2015","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-23","2015","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-24","2015","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-25","2015","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-26","2015","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-27","2015","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-02-28","2015","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-01","2015","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-02","2015","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-03","2015","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-04","2015","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-05","2015","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-06","2015","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-07","2015","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-08","2015","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-09","2015","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-10","2015","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-11","2015","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-12","2015","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-13","2015","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-14","2015","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-15","2015","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-16","2015","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-17","2015","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-18","2015","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-19","2015","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-20","2015","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-21","2015","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-22","2015","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-23","2015","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-24","2015","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-25","2015","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-26","2015","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-27","2015","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-28","2015","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-29","2015","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-30","2015","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-03-31","2015","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-01","2015","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-02","2015","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-03","2015","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-04","2015","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-05","2015","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-06","2015","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-07","2015","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-08","2015","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-09","2015","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-10","2015","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-11","2015","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-12","2015","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-13","2015","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-14","2015","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-15","2015","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-16","2015","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-17","2015","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-18","2015","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-19","2015","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-20","2015","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-21","2015","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-22","2015","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-23","2015","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-24","2015","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-25","2015","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-26","2015","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-27","2015","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-28","2015","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-29","2015","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-04-30","2015","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-01","2015","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-02","2015","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-03","2015","05","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-04","2015","05","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-05","2015","05","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-06","2015","05","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-07","2015","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-08","2015","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-09","2015","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-10","2015","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-11","2015","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-12","2015","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-13","2015","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-14","2015","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-15","2015","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-16","2015","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-17","2015","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-18","2015","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-19","2015","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-20","2015","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-21","2015","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-22","2015","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-23","2015","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-24","2015","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-25","2015","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-26","2015","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-27","2015","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-28","2015","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-29","2015","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-30","2015","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-05-31","2015","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-01","2015","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-02","2015","06","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-03","2015","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-04","2015","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-05","2015","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-06","2015","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-07","2015","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-08","2015","06","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-09","2015","06","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-10","2015","06","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-11","2015","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-12","2015","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-13","2015","06","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-14","2015","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-15","2015","06","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-16","2015","06","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-17","2015","06","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-18","2015","06","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-19","2015","06","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-20","2015","06","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-21","2015","06","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-22","2015","06","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-23","2015","06","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-24","2015","06","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-25","2015","06","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-26","2015","06","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-27","2015","06","27","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-28","2015","06","28","","","","","","","","","","","","","","","","","","","","","","",""
"-79.43","47.35","VILLE MARIE","7088760","2015-06-29","2015","06","29","","","","","","","","","","","","","","","","","","","","","","",""
